name,count,similarity
drumpt,376,0.576952397823
peeotus,597,0.571665644646
drumpf,67255,0.857130247531
drumph,2923,0.712930154605
djt,3169,0.677691325324
trumpsky,282,0.528994834169
tramp,880,0.585894529928
thump,1252,0.608816065442
dt,6089,0.75529582484
donny,3843,0.545046938852
tump,577,0.646531027256
dumpy,191,0.553849697113
dump,5679,0.633979439735
trumpledickskin,121,0.50481492281
trumputin,518,0.679885195604
trumpenstein,359,0.644984781742
trumpoloni,221,0.615144014359
drumpfuhrer,156,0.517356693745
trunp,107,0.641214494393
drumpster,310,0.581155180931
drump,873,0.67931085627
trumpster,1892,0.610051735196
trumpf,3050,0.707697416388
d0nald,395,0.658461689949
frump,207,0.649284323057
littlehands,270,0.585085511208
trumpy,2320,0.629421541866
twitler,268,0.697092354298
dumpster,2038,0.544968485832
donnie,24204,0.60288181768
donnieboy,145,0.64080119133
drumptf,496,0.640133976936
conald,204,0.553757190704
pussy-grabber,569,0.698275575738
trumpolini,1056,0.601205250079
rump,9103,0.753354932284
peotus,790,0.568415820599
thrump,101,0.621600404234
trumpski,2517,0.694996410956
trumpenfuhrer,295,0.594416049375
trum,126,0.57766115287
t-rump,3219,0.79961945604
twump,349,0.742434501648
rusty,386,0.662146925926
turnip,1664,0.66144420794
littlefingers,482,0.723035395145
trumplethinskin,815,0.5982891191
drumpfenführer,374,0.572872042656
despot,264,0.669497668743
trumo,126,0.525626064293
trumper,888,0.688852488995
drumpfy,696,0.693263709545
cheetolini,529,0.537261796696
thwrumpf,143,0.525941073895
chump,11612,0.666801276769
trumpkin,1386,0.537507761608
trumpov,290,0.669569313526
pussygrabber,451,0.575116397801
shitgibbon,1884,0.582684636116
